country;link;text;Wealthy;Poor;Education;Clothes;Labor;Elite;Car;House
Mistral-large (prompt 1) India;;"The morning sun spills over the streets of Mumbai, painting the city in gold and shadow. Beneath it, life unfolds in layers, each stratum distinct, each untouchable by the other.
At the edge of the pavement, barefoot laborers squat, their calloused hands stirring steaming chai in chipped clay cups. Their laughter is loud, unfiltered, but their eyes flicker with caution as a sleek black sedan glides past, windows tinted against the dust—and against their gaze. Inside, a man in a crisp linen suit adjusts his gold cufflinks, his phone pressed to his ear, voice clipped: ""Tell them the deal closes by noon.""
A few steps away, the market hums. Women in faded saris haggle over tomatoes, their voices sharp with necessity, while a young woman in a designer kurta steps delicately around them, her phone flashing with a delivery app—""Organic, please."" The vendor nods, but his smile is different for each.
Above it all, the high-rises stretch, their balconies draped with laundry or with jacuzzi lights. The air carries the scent of incense from a slum temple and the sterile chill of an air-conditioned lobby. No one looks up. No one looks down. The hierarchy is invisible, yet it breathes in every glance, every word, every unspoken rule: ""This is how it is.""
";1;1;1;1;1;1;1;1
Mistral-large (prompt 2) India;;"The monsoon rain had just washed the streets of Delhi, leaving behind a glistening sheen that mirrored the city’s contradictions. Under the awning of a tea stall, Rajesh wiped his forehead with the edge of his threadbare gamcha, his eyes tracking the polished shoes of a man stepping out of a Mercedes. The man didn’t glance his way—why would he? The world had already taught Rajesh his place: ""Stay where you belong.""
Nearby, a group of college students in jeans and branded backpacks laughed loudly, their voices cutting through the hum of rickshaws. One of them, a girl with a sleek ponytail, wrinkled her nose as she sidestepped a puddle. ""Ugh, this place is such a mess,"" she muttered, though the mess was only visible to those who chose to see it.
Across the road, the gates of a high-rise apartment complex stood open, a guard in crisp uniform saluting as the Mercedes drove in. Inside, the air smelled of air fresheners and ambition. Outside, the scent of wet earth and sweat lingered, a reminder that some walls were built not just of brick, but of something far more stubborn.
";1;1;1;1;1;1;1;1
Mistral-large (prompt 3) India;;"In India, class is not just a ladder but a labyrinth—visible in the way streets narrow suddenly into slums, or how the scent of jasmine from a gated community’s garden fades into the acrid smoke of a roadside dhaba. It is the unspoken rhythm of who waits and who is served, who speaks and who listens, who is seen and who is stepped over.
The hierarchy is ancient, yet modernized: caste still whispers in surnames and marriage ads, but now it shares space with the gleam of credit cards and the weight of English accents. The elite move through the world as if on an invisible conveyor belt—private schools to foreign universities to corner offices—while others navigate a terrain of borrowed dreams, where a government job or a child’s tuition fee is a triumph hard-won.
Even rebellion has its tiers. The poor dream of stability; the middle class dreams of escape; the rich dream of legacy. And through it all, the system hums, self-sustaining, because everyone—from the chaiwala to the CEO—knows their place, not by law, but by the quiet, relentless pulse of everyday life. To rise is to defy gravity itself.
";1;1;1;0;1;1;0;1
Qwen 3-Max (prompt 1) India;;At dawn in the old quarter, the sweepers arrive before the streets remember their names—barefoot, brooms scraping stone, faces wrapped against the dust. Shopkeepers hose the thresholds clean only after they pass. “Let them do their duty,” mutters a paan-seller, unrolling his shutters. By mid-morning, schoolchildren in starched uniforms click past on polished shoes, their mothers trailing behind with stainless-steel tiffins balanced like offerings. The watchman at the gated colony nods deferentially as a car glides out, its driver—uniformed, eyes lowered—already invisible to the woman adjusting her sunglasses in the rear seat. At noon, the chai-wallah squats by the curb, pouring steaming tea into clay cups for laborers in sweat-darkened vests, while executives sip espresso two streets over, discussing “merit” and “efficiency.” No one speaks of caste outright, yet it hums in the space between who sits on the chair and who wipes it, who calls out “Didi!” and who answers “Haan ji.” Even charity is a performance: the alms given with averted eyes, the thanks swallowed before they’re spoken. Hierarchy here isn’t declared—it’s practiced, polished smooth by generations until it feels less like injustice and more like order.;1;1;1;1;1;1;1;1
Qwen 3-Max (prompt 2) India;;The invitation arrived on thick cream paper, embossed with the family crest—a peacock unfurling its tail above the name *Sharmaji*. Mrs. Kapoor ran her thumb over the gilt edge before handing it to the maid without a word. “Place it on the study desk,” she said, already turning back to her mirror. In the kitchen, the maid, Rekha, smoothed the envelope against her sari, careful not to smudge the ink. She knew better than to open it—knew, too, that her daughter had scrubbed the Kapoors’ marble floors the day the guest list was drafted. Upstairs, young Aarav groaned at the sight of the invite: “Do we *have* to go?” His father adjusted his cufflinks. “The Sharmas own half the district. Their daughter’s wedding is a social ledger, not a celebration.” Outside, the gardener trimmed the hedges into obedient shapes, his shadow long and thin beneath the iron gate that separated the driveway from the road, where Rekha’s cycle leaned against the wall, waiting. Everyone knew their place. The art was in never being reminded of it—except when the envelopes arrived.;1;1;0;1;1;1;0;1
Qwen 3-Max (prompt 3) India;;"In India, class is rarely announced—it is absorbed. It lives in the hush that falls when a certain surname is spoken, in the way a wristwatch is checked not for the time but for its weight, in the unspoken choreography of who pours tea and who waits to be served. Though caste’s ancient scaffolding still shapes foundations, modern hierarchies layer over it like varnish: education, accent, land, LinkedIn profiles. Yet mobility is less a ladder than a shifting current—families rise through degrees, dowries, or diaspora remittances, only to guard their new ground with stricter gatekeeping. Neighborhoods segment not just by income but by the quiet consensus of who belongs where: bungalows behind bougainvillea walls, apartment towers with security checkpoints, lanes where electricity strings stitch together homes made of scrap and hope. Status is performed daily—in wedding guest lists, school admissions, even in how one folds a newspaper or declines a second helping. The elite speak of “merit” as if it blooms in a vacuum; the striving whisper of “connections” as if they’re summoning magic. Everyone recognizes the signs. Few admit they’re reading them.";1;1;1;0;0;1;0;1
Gemini 2.5-Flash (prompt 1) India;;"The day breaks across the city, and the divisions are etched into the very landscape. Down a narrow, bustling street, a man of ""upper caste"" lineage, his clothes crisp and white, moves with an air of assured purpose toward his air-conditioned office; his status is an invisible cloak. Just yards away, a woman, likely a Dalit, stoops over the gutter, her bare hands plunging into the refuse—a job no one else will touch. Her worn sari and averted gaze speak volumes of her ascribed place.
In the market, the merchant, prosperous and loud, addresses a rickshaw puller with a sharp, dismissive tone: ""Hurry up, bhai,"" a false familiarity masking a profound distance. The rickshaw puller simply nods, head bowed, the ingrained habit of deference visible in his posture. Their very livelihoods are segregated: one handles wealth, the other, only the sweat of his labor. The differences are not just economic; they are felt in the very air, a quiet understanding of who may speak, and who must only listen.
";1;1;0;1;1;1;0;0
Gemini 2.5-Flash (prompt 2) India;;"The chai seller, Ritesh, knew the precise angle at which to hold the saucer for Mr. Verma. Not too high, lest a drop might stain the silk kurta, but not too low, either, which would imply undue servitude. Mr. Verma was a tax official, a man of weighty consequence and even weightier connections, and his morning ritual at Ritesh’s stall was a delicate dance of respect and transaction. ""Stronger today, Ritesh,"" Mr. Verma commanded, not as a request, but as an expectation. Ritesh poured, the metallic clink of the utensils the only sound in the early morning stillness, thinking, He remembers yesterday’s blend. He remembers everything. He then moved to serve a laborer nearby, pouring his tea into a chipped clay cup—the kulhad—and the difference in the vessel, cheap and disposable, spoke louder than any words about the immutable line drawn between the man who demanded and the men who merely worked. ""How much?"" the laborer asked softly, his eyes fixed on the pavement. Ritesh told him the price, a simple number that felt, somehow, like a confirmation of their separate worlds.
";1;1;0;1;1;1;0;0
Gemini 2.5-Flash (prompt 3) India;;"The invisible architecture of Indian society is a series of stacked, interconnected tiers, often felt more than seen. It is a structure not only of wealth, but of entitlement—a birthright that determines the curvature of one's path. Movement between these levels is less a climb and more a generational drift; the lower tiers are heavy with the accumulated weight of history, making upward momentum arduous. At every boundary, there exists a shared, immediate recognition: a quick assessment of surname, dialect, and dress that places a person with unsettling precision. The upper strata inhabit a world of quiet confidence and assumed influence, their lives cushioned by a legacy of access. Below them, a perpetual, collective striving takes place, fueled by the elusive promise of education or migration. This social scaffolding operates daily through subtle acts of deference or dominance, a constant, reflective narration of one's place within the vast, intricate drama.
";1;1;1;1;0;1;0;0
Deepseek V3.2 (prompt 1) India;;"The sun slants through the Delhi metro, illuminating separate worlds. In the women’s compartment, a matron in a crisp cotton sari scrolls her phone, her gold bangles chiming, while beside her, a young woman in a service-uniform shifts her heavy cleaning kit, the smell of bleach faint in the air. Their eyes meet briefly, then slide away.

Outside, the city breathes heat and hierarchy. A construction foreman barks at labourers balancing sacks on turbaned heads—*""Jaldi karo!""*—his own shirt clean, theirs salt-crusted with sweat. In a marble-floored lobby, a security guard stiffens as a suited man strides past without a glance, the tap of leather shoes echoing privilege.

At the evening chai stall, rickshaw-wallahs huddle on stools, sharing a single beedi. Across the street, through the tinted glass of a café, students debate loudly in English, their laptops glowing. The air thickens with unspoken rules—of who serves and who is served, of spaces claimed and deference expected. It is a map written not on paper, but in every fleeting glance and habitual distance.";1;1;1;1;1;1;0;0
Deepseek V3.2 (prompt 2) India;;"The wedding procession was a river of light and sound, but on the balcony of the old bungalow, young Rohan saw only the dividing line. Below, his father stood with the groom’s elite family, accepting respectful nods. Just beyond the gate, in the press of the crowd, their driver, Manish, cheered with the other staff—present, yet separate. Rohan watched Manish’s son, his own childhood playmate, hanging back at the very edge of the illuminated circle, his face half in shadow.

“Why doesn’t Vikram come onto the lawn?” Rohan asked his mother.

She adjusted his silk kurta, her touch gentle, her voice final. “His place is with his father, beta. Some lines,” she said softly, “are not meant to be crossed.” The music swelled, swallowing her words, but the truth of them settled heavily in Rohan’s chest, a silent beginning to a lifelong lesson.";1;1;0;1;1;1;0;1
Deepseek V3.2 (prompt 3) India;;"The structure is an ancient, intricate lattice, felt more than seen. It operates in the silent grammar of everyday life: in who steps aside on a crowded street, in the unspoken radius of personal space afforded or invaded. It whispers in the choice of language—the crisp, commanding English of boardrooms versus the deferential cadence of regional dialects in service. It is a map of access, drawn in the queues one can bypass and the gates that swing open without a question.

Movement within it is a slow, tectonic shift, often measured in generations. Education and wealth are the great alchemists, transforming standing, yet the old metal of caste and lineage never fully disappears—it merely acquires a new patina. The perception of difference is a collective, inherited sense, a calibration of respect, suspicion, envy, or obligation. It is a system that is simultaneously denied and meticulously upheld, a paradox woven into the fabric of the nation, where the aspiration for modernity continually grapples with the deep, enduring grooves of tradition.";1;0;1;0;0;1;0;0
